iter	Passed	Remaining
0	56	56524
1	60	29969
2	62	20824
3	65	16185
4	67	13521
5	71	11780
6	74	10503
7	77	9598
8	81	8935
9	83	8314
10	86	7794
11	89	7347
12	91	6934
13	93	6584
14	96	6309
15	98	6057
16	101	5863
17	104	5678
18	106	5489
19	108	5312
20	110	5147
21	112	4991
22	113	4830
23	115	4683
24	116	4545
25	117	4417
26	119	4295
27	120	4179
28	121	4066
29	122	3960
30	123	3858
31	124	3761
32	125	3668
33	126	3581
34	126	3499
35	127	3422
36	128	3348
37	129	3280
38	130	3207
39	131	3147
40	132	3098
41	133	3046
42	134	2992
43	135	2940
44	136	2891
45	137	2843
46	138	2798
47	138	2754
48	139	2713
49	140	2672
50	141	2634
51	142	2597
52	143	2561
53	144	2530
54	145	2496
55	146	2462
56	146	2428
57	147	2398
58	148	2371
59	149	2342
60	150	2310
61	150	2282
62	151	2255
63	152	2231
64	153	2207
65	154	2184
66	155	2161
67	156	2139
68	157	2118
69	157	2096
70	158	2075
71	159	2052
72	159	2030
73	160	2008
74	161	1987
75	161	1967
76	162	1947
77	163	1928
78	164	1922
79	165	1907
80	166	1890
81	167	1873
82	168	1857
83	168	1841
84	169	1824
85	170	1808
86	170	1794
87	171	1779
88	172	1764
89	173	1749
90	173	1735
91	174	1721
92	175	1708
93	175	1694
94	176	1680
95	177	1667
96	177	1654
97	178	1643
98	179	1630
99	179	1619
100	180	1610
101	181	1600
102	182	1589
103	183	1577
104	183	1566
105	184	1555
106	185	1545
107	185	1534
108	186	1524
109	187	1514
110	187	1503
111	188	1494
112	189	1484
113	189	1474
114	190	1465
115	191	1455
116	191	1446
117	192	1438
118	193	1429
119	193	1420
120	194	1411
121	194	1403
122	195	1394
123	196	1386
124	196	1378
125	197	1370
126	198	1362
127	198	1354
128	199	1348
129	200	1340
130	200	1332
131	201	1325
132	202	1318
133	202	1311
134	203	1304
135	204	1297
136	204	1290
137	205	1283
138	206	1277
139	206	1270
140	207	1264
141	208	1258
142	208	1251
143	209	1245
144	210	1239
145	210	1232
146	211	1226
147	212	1224
148	213	1218
149	214	1213
150	214	1207
151	215	1201
152	216	1196
153	216	1189
154	217	1184
155	217	1179
156	218	1173
157	219	1168
158	219	1163
159	220	1158
160	221	1153
161	221	1147
162	222	1142
163	223	1137
164	223	1132
165	224	1127
166	225	1122
167	225	1117
168	226	1113
169	227	1109
170	227	1104
171	228	1099
172	229	1096
173	229	1091
174	230	1087
175	231	1082
176	231	1078
177	232	1074
178	233	1070
179	234	1066
180	234	1062
181	235	1058
182	236	1053
183	236	1049
184	237	1045
185	237	1041
186	238	1037
187	239	1033
188	239	1029
189	240	1026
190	241	1022
191	242	1019
192	242	1015
193	243	1011
194	244	1007
195	244	1003
196	245	1000
197	245	996
198	246	993
199	247	989
200	248	986
201	248	982
202	249	978
203	249	975
204	250	971
205	251	968
206	251	965
207	252	961
208	253	959
209	254	955
210	254	952
211	255	949
212	256	945
213	256	942
214	257	939
215	257	936
216	258	933
217	259	930
218	260	927
219	260	924
220	261	921
221	262	918
222	262	915
223	263	912
224	264	909
225	264	906
226	265	903
227	266	900
228	266	898
229	267	895
230	268	892
231	268	889
232	269	886
233	269	883
234	270	880
235	271	878
236	271	875
237	272	872
238	273	869
239	273	867
240	274	864
241	275	861
242	275	858
243	276	856
244	276	853
245	277	850
246	278	848
247	278	845
248	279	843
249	280	840
250	280	838
251	281	835
252	282	833
253	282	830
254	283	828
255	284	825
256	284	823
257	285	820
258	286	818
259	286	815
260	287	813
261	288	811
262	288	809
263	289	806
264	290	804
265	290	802
266	291	799
267	291	797
268	292	795
269	293	792
270	293	790
271	294	788
272	295	785
273	295	783
274	296	781
275	297	779
276	297	777
277	298	774
278	299	772
279	299	770
280	300	768
281	300	766
282	301	764
283	302	761
284	302	759
285	303	757
286	304	755
287	304	753
288	305	751
289	306	749
290	306	747
291	307	745
292	308	743
293	308	741
294	309	739
295	310	737
296	310	734
297	311	733
298	311	731
299	312	729
300	313	727
301	314	726
302	315	724
303	315	723
304	316	721
305	317	719
306	317	717
307	318	715
308	319	713
309	319	711
310	320	709
311	320	707
312	321	705
313	322	704
314	322	702
315	323	700
316	324	698
317	324	696
318	325	694
319	326	693
320	326	691
321	327	690
322	328	689
323	329	687
324	330	685
325	330	684
326	331	682
327	332	680
328	332	678
329	333	677
330	334	675
331	334	673
332	335	671
333	336	670
334	336	668
335	337	666
336	337	664
337	338	663
338	339	661
339	339	659
340	340	657
341	341	656
342	341	654
343	342	652
344	343	651
345	344	650
346	345	649
347	345	647
348	346	646
349	347	644
350	347	643
351	348	641
352	349	639
353	349	638
354	350	636
355	351	635
356	351	633
357	352	631
358	353	630
359	353	628
360	354	627
361	354	625
362	355	623
363	356	622
364	356	620
365	357	619
366	358	617
367	358	616
368	359	614
369	360	614
370	361	612
371	362	611
372	362	609
373	363	608
374	364	607
375	365	605
376	365	604
377	366	602
378	367	601
379	367	599
380	368	598
381	368	596
382	369	595
383	370	593
384	370	592
385	371	591
386	372	589
387	372	588
388	373	587
389	374	585
390	375	584
391	376	583
392	377	582
393	377	581
394	378	579
395	379	578
396	379	576
397	380	575
398	381	574
399	382	573
400	382	571
401	383	570
402	384	569
403	384	567
404	385	566
405	386	564
406	386	563
407	387	562
408	388	560
409	388	559
410	389	557
411	389	556
412	390	555
413	391	553
414	392	553
415	393	552
416	394	551
417	395	550
418	395	549
419	396	547
420	397	546
421	398	545
422	399	544
423	399	543
424	400	541
425	400	540
426	401	538
427	402	537
428	402	536
429	403	534
430	404	533
431	405	532
432	405	531
433	406	530
434	407	528
435	407	527
436	408	526
437	409	525
438	410	524
439	411	523
440	412	522
441	413	521
442	413	520
443	414	518
444	415	517
445	415	516
446	416	515
447	416	513
448	417	512
449	418	511
450	419	510
451	419	508
452	420	507
453	421	506
454	421	505
455	422	503
456	423	502
457	423	501
458	424	500
459	425	499
460	426	499
461	427	497
462	428	496
463	428	495
464	429	494
465	430	493
466	430	491
467	431	490
468	432	489
469	433	488
470	433	487
471	434	485
472	435	484
473	435	483
474	436	482
